treatment,replicate,update,environment,population_size,genotype_diversity,0000,0001,0010,0011,0100,0101,0110,0111,1000,1001,1010,1011,1100,1101,1110,1111
cycle-50-unrestricted,28,81000,nand+not-,3423,7.686115,899,1025,0,0,7,329,0,0,0,0,626,530,0,0,0,7
cycle-50-unrestricted,28,82000,nand+not-,3447,7.668695,871,1110,0,0,12,247,0,0,1,0,749,447,0,0,0,10
cycle-50-unrestricted,28,83000,nand+not-,3423,7.679849,899,1030,0,0,8,277,0,0,0,0,806,387,0,0,0,16
cycle-50-unrestricted,28,84000,nand+not-,3385,7.653824,804,980,0,0,5,634,0,0,0,0,747,199,0,0,1,15
cycle-50-unrestricted,28,85000,nand+not-,3404,7.659074,811,927,0,0,6,124,0,0,0,0,1113,400,0,0,2,21
cycle-50-unrestricted,28,86000,nand+not-,3446,7.645160,909,1309,0,0,9,170,0,0,0,0,694,344,0,0,0,11
cycle-50-unrestricted,28,87000,nand+not-,3442,7.699809,896,1042,0,0,5,523,0,0,2,0,734,223,0,0,0,17
cycle-50-unrestricted,28,88000,nand+not-,3405,7.676890,951,1325,1,0,9,108,0,0,0,0,816,175,0,0,0,20
cycle-50-unrestricted,28,89000,nand+not-,3404,7.669511,910,1227,0,0,5,238,0,0,0,0,785,229,0,0,0,10
cycle-50-unrestricted,28,9000,nand+not-,3599,7.810572,3586,0,0,0,0,3,0,0,0,0,10,0,0,0,0,0
cycle-50-unrestricted,28,90000,nand+not-,3456,7.688435,964,1215,0,0,3,317,0,0,0,0,500,442,0,0,0,15
cycle-50-unrestricted,28,91000,nand+not-,3429,7.679245,963,1088,0,0,8,137,0,0,0,0,931,277,0,0,0,25
cycle-50-unrestricted,28,92000,nand+not-,3442,7.725360,936,965,0,0,2,272,0,0,0,0,827,430,0,0,1,9
cycle-50-unrestricted,28,93000,nand+not-,3426,7.718309,940,972,0,0,7,216,0,0,0,0,999,258,0,0,0,34
cycle-50-unrestricted,28,94000,nand+not-,3409,7.692262,826,872,0,0,11,98,0,0,1,0,965,582,0,0,0,54
cycle-50-unrestricted,28,95000,nand+not-,3436,7.734365,956,1206,0,0,4,95,0,0,0,0,946,210,0,0,0,19
cycle-50-unrestricted,28,96000,nand+not-,3433,7.714885,924,1121,1,0,5,160,0,0,0,0,782,427,0,0,0,13
cycle-50-unrestricted,28,97000,nand+not-,3411,7.727593,887,1292,0,0,12,267,0,0,1,0,462,474,0,0,0,16
cycle-50-unrestricted,28,98000,nand+not-,3390,7.739101,800,972,3,0,16,414,0,0,0,0,991,179,0,0,0,15
cycle-50-unrestricted,28,99000,nand+not-,3389,7.768761,849,1251,0,0,9,88,0,0,0,0,842,335,0,0,1,14
cycle-50-unrestricted,22,0,nand+not-,1,0.000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cycle-50-unrestricted,22,1000,nand+not-,3599,7.871988,3598,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
cycle-50-unrestricted,22,10000,nand+not-,3600,7.835316,3595,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0
cycle-50-unrestricted,22,100000,nand+not-,3594,7.794617,892,125,1,1,6,14,0,0,32,2434,49,27,0,12,0,1
cycle-50-unrestricted,22,11000,nand+not-,3599,7.811921,3583,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0
cycle-50-unrestricted,22,12000,nand+not-,3596,7.797829,3585,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
cycle-50-unrestricted,22,13000,nand+not-,3599,7.789394,3578,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0
cycle-50-unrestricted,22,14000,nand+not-,3599,7.778348,3593,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
cycle-50-unrestricted,22,15000,nand+not-,3599,7.778739,3561,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0
cycle-50-unrestricted,22,16000,nand+not-,3599,7.774233,3551,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0
cycle-50-unrestricted,22,17000,nand+not-,3599,7.796697,3531,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0
cycle-50-unrestricted,22,18000,nand+not-,3600,7.779317,3541,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0
cycle-50-unrestricted,22,19000,nand+not-,3599,7.825968,3571,0,0,0,0,15,0,0,0,0,13,0,0,0,0,0
cycle-50-unrestricted,22,2000,nand+not-,3597,7.847949,3591,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0
cycle-50-unrestricted,22,20000,nand+not-,3600,7.799808,3564,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0
cycle-50-unrestricted,22,21000,nand+not-,3600,7.830489,3511,0,0,0,1,87,0,0,0,0,1,0,0,0,0,0
cycle-50-unrestricted,22,22000,nand+not-,3599,7.840798,3514,0,0,0,0,84,0,0,0,0,1,0,0,0,0,0
cycle-50-unrestricted,22,23000,nand+not-,3598,7.813389,3523,0,0,0,0,73,0,0,0,0,2,0,0,0,0,0
cycle-50-unrestricted,22,24000,nand+not-,3600,7.808907,3516,0,0,0,0,74,0,0,0,0,3,0,0,0,0,7
cycle-50-unrestricted,22,25000,nand+not-,3599,7.834489,3588,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
cycle-50-unrestricted,22,26000,nand+not-,3599,7.822914,3595,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
cycle-50-unrestricted,22,27000,nand+not-,3600,7.851124,3538,0,0,0,0,60,0,0,0,0,2,0,0,0,0,0
cycle-50-unrestricted,22,28000,nand+not-,3600,7.822963,3565,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0
cycle-50-unrestricted,22,29000,nand+not-,3599,7.828328,3530,0,0,0,0,32,0,0,0,0,37,0,0,0,0,0
cycle-50-unrestricted,22,3000,nand+not-,3593,7.868201,3580,0,0,0,0,11,0,0,0,0,2,0,0,0,0,0
cycle-50-unrestricted,22,30000,nand+not-,3599,7.853354,3549,0,0,0,0,48,0,0,0,0,2,0,0,0,0,0
cycle-50-unrestricted,22,31000,nand+not-,3599,7.852090,3533,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0
cycle-50-unrestricted,22,32000,nand+not-,3599,7.852884,3556,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0
cycle-50-unrestricted,22,33000,nand+not-,3600,7.844197,3587,0,0,0,0,7,0,0,0,0,6,0,0,0,0,0
cycle-50-unrestricted,22,34000,nand+not-,3598,7.834528,3592,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1
cycle-50-unrestricted,22,35000,nand+not-,3599,7.871590,3597,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
cycle-50-unrestricted,22,36000,nand+not-,3600,7.862754,3558,0,0,0,0,41,0,0,0,0,1,0,0,0,0,0
cycle-50-unrestricted,22,37000,nand+not-,3600,7.850785,3599,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
cycle-50-unrestricted,22,38000,nand+not-,3599,7.870391,3589,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
cycle-50-unrestricted,22,39000,nand+not-,3600,7.890091,3592,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
cycle-50-unrestricted,22,4000,nand+not-,3596,7.822242,3588,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0
cycle-50-unrestricted,22,40000,nand+not-,3600,7.865030,3560,0,0,0,0,36,0,0,0,0,4,0,0,0,0,0
cycle-50-unrestricted,22,41000,nand+not-,3600,7.832893,3596,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
cycle-50-unrestricted,22,42000,nand+not-,3599,7.829313,3583,0,0,0,0,15,0,0,0,0,1,0,0,0,0,0
cycle-50-unrestricted,22,43000,nand+not-,3600,7.826023,3535,0,0,0,0,62,0,0,0,0,3,0,0,0,0,0
cycle-50-unrestricted,22,44000,nand+not-,3600,7.826424,3574,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0
cycle-50-unrestricted,22,45000,nand+not-,3599,7.844968,3477,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0
cycle-50-unrestricted,22,46000,nand+not-,3595,7.826137,3286,0,0,0,0,304,0,0,0,0,5,0,0,0,0,0
cycle-50-unrestricted,22,47000,nand+not-,3535,7.799256,1970,0,0,0,0,738,0,0,0,0,826,0,0,0,0,1
cycle-50-unrestricted,22,48000,nand+not-,3479,7.795734,1221,0,0,0,0,1071,0,0,0,0,1168,0,0,0,0,19
cycle-50-unrestricted,22,49000,nand+not-,3446,7.727213,770,0,0,0,0,1084,0,0,0,0,1590,0,0,0,0,2
cycle-50-unrestricted,22,5000,nand+not-,3597,7.839885,3595,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
cycle-50-unrestricted,22,50000,nand+not-,3447,7.764625,685,0,0,0,0,1701,0,0,0,0,1046,0,0,0,0,15
cycle-50-unrestricted,22,51000,nand+not-,3426,7.763554,712,0,0,0,0,1849,0,0,0,0,841,0,0,0,0,24
cycle-50-unrestricted,22,52000,nand+not-,3476,7.807676,743,0,0,0,0,1480,0,0,0,0,1238,0,0,0,0,15
cycle-50-unrestricted,22,53000,nand+not-,3437,7.721810,789,0,0,0,0,812,0,0,0,0,1819,0,0,0,0,17
cycle-50-unrestricted,22,54000,nand+not-,3440,7.732952,674,0,0,0,0,1218,0,0,0,0,1539,0,0,0,0,9
cycle-50-unrestricted,22,55000,nand+not-,3453,7.832542,772,0,0,0,0,1362,0,0,0,0,1306,0,0,0,0,13
cycle-50-unrestricted,22,56000,nand+not-,3427,7.769410,826,0,0,0,0,1385,0,0,0,0,1173,0,0,0,0,43
cycle-50-unrestricted,22,57000,nand+not-,3432,7.720108,629,0,0,0,0,1166,0,0,0,0,1594,0,0,0,0,43
cycle-50-unrestricted,22,58000,nand+not-,3420,7.701454,615,0,0,0,0,842,0,0,0,0,1930,0,0,0,0,33
cycle-50-unrestricted,22,59000,nand+not-,3489,7.799430,646,0,0,0,0,1553,0,0,0,0,1249,0,0,0,0,41
cycle-50-unrestricted,22,6000,nand+not-,3599,7.835233,3583,0,0,0,0,15,0,0,0,0,1,0,0,0,0,0
cycle-50-unrestricted,22,60000,nand+not-,3392,7.754670,599,0,0,0,0,920,0,0,0,0,1806,0,0,0,0,67
cycle-50-unrestricted,22,61000,nand+not-,3431,7.826274,667,694,0,0,1,509,0,0,0,0,1262,7,0,0,0,291
cycle-50-unrestricted,22,62000,nand+not-,3429,7.822368,739,1192,0,0,1,352,0,0,0,0,812,291,0,0,0,42
cycle-50-unrestricted,22,63000,nand+not-,3435,7.805943,730,1262,0,0,2,29,0,0,0,0,1364,15,0,0,0,33
cycle-50-unrestricted,22,64000,nand+not-,3372,7.699961,612,484,0,0,2,1172,0,1,10,0,640,11,0,0,0,440
cycle-50-unrestricted,22,65000,nand+not-,3420,7.718145,748,569,0,0,0,590,0,0,0,0,1282,218,0,0,0,13
cycle-50-unrestricted,22,66000,nand+not-,3355,7.654679,674,400,0,0,0,978,0,0,0,0,852,365,0,0,0,86
cycle-50-unrestricted,22,67000,nand+not-,3523,7.809780,752,125,3,0,7,310,0,0,19,1959,303,19,0,8,2,16
cycle-50-unrestricted,22,68000,nand+not-,3563,7.840148,762,115,4,4,7,21,0,1,45,2482,57,41,0,16,0,8
cycle-50-unrestricted,22,69000,nand+not-,3579,7.822484,834,102,3,1,3,24,0,0,33,2470,50,37,0,15,0,7
cycle-50-unrestricted,22,7000,nand+not-,3596,7.831114,3494,0,0,0,0,66,0,0,0,0,36,0,0,0,0,0
cycle-50-unrestricted,22,70000,nand+not-,3584,7.783944,857,91,4,1,4,28,0,0,35,2474,38,37,0,11,0,4
cycle-50-unrestricted,22,71000,nand+not-,3583,7.800904,884,92,4,0,2,23,0,0,52,2409,45,50,2,15,0,5
cycle-50-unrestricted,22,72000,nand+not-,3589,7.776537,903,83,7,0,3,23,0,0,45,2416,47,42,1,12,0,7
cycle-50-unrestricted,22,73000,nand+not-,3582,7.788619,919,93,2,0,3,19,0,0,29,2418,46,35,0,15,0,3
cycle-50-unrestricted,22,74000,nand+not-,3591,7.805370,929,95,1,4,2,13,0,0,34,2431,35,17,0,16,0,14
cycle-50-unrestricted,22,75000,nand+not-,3589,7.780067,899,88,2,0,3,16,0,0,36,2455,40,38,0,7,0,5
cycle-50-unrestricted,22,76000,nand+not-,3584,7.772149,950,99,1,1,3,29,0,0,29,2390,38,23,0,12,0,9
cycle-50-unrestricted,22,77000,nand+not-,3593,7.784966,911,100,4,3,1,14,0,0,31,2439,44,23,1,13,0,9
cycle-50-unrestricted,22,78000,nand+not-,3586,7.776041,893,106,2,2,5,18,2,1,46,2424,30,43,0,6,0,8
cycle-50-unrestricted,22,79000,nand+not-,3595,7.764962,922,125,6,1,1,31,0,0,38,2369,36,48,0,10,0,8
cycle-50-unrestricted,22,8000,nand+not-,3600,7.818449,3594,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0
cycle-50-unrestricted,22,80000,nand+not-,3591,7.783111,926,101,7,2,3,21,0,0,36,2393,39,46,0,6,0,11
cycle-50-unrestricted,22,81000,nand+not-,3591,7.792903,942,90,2,2,2,25,0,1,38,2391,31,41,0,15,0,11
cycle-50-unrestricted,22,82000,nand+not-,3590,7.752873,892,104,2,7,3,25,0,0,34,2433,49,25,0,11,0,5
cycle-50-unrestricted,22,83000,nand+not-,3593,7.757196,958,100,4,3,3,18,0,0,26,2399,32,23,0,15,0,12
cycle-50-unrestricted,22,84000,nand+not-,3595,7.778379,929,92,2,3,3,18,0,0,40,2410,35,37,0,16,0,10
cycle-50-unrestricted,22,85000,nand+not-,3597,7.775971,1015,89,0,2,0,17,0,0,28,2352,28,47,0,12,0,7
cycle-50-unrestricted,22,86000,nand+not-,3596,7.751423,954,71,4,3,4,20,0,0,27,2435,34,29,0,11,0,4
cycle-50-unrestricted,22,87000,nand+not-,3592,7.790593,946,114,3,1,3,13,0,1,36,2375,51,29,0,9,1,10
cycle-50-unrestricted,22,88000,nand+not-,3592,7.791814,918,90,5,2,2,15,0,0,48,2423,49,22,0,11,0,7
cycle-50-unrestricted,22,89000,nand+not-,3596,7.768205,933,92,1,2,0,20,0,1,32,2421,46,29,0,11,0,8
cycle-50-unrestricted,22,9000,nand+not-,3597,7.822091,3581,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0
cycle-50-unrestricted,22,90000,nand+not-,3588,7.777555,964,87,6,1,6,21,0,0,41,2372,40,25,0,13,0,12
cycle-50-unrestricted,22,91000,nand+not-,3591,7.790367,949,106,4,2,2,20,0,0,36,2372,47,22,0,23,0,8
cycle-50-unrestricted,22,92000,nand+not-,3597,7.788765,882,111,4,0,7,24,0,0,43,2412,51,39,0,16,0,8
cycle-50-unrestricted,22,93000,nand+not-,3597,7.789567,968,122,5,1,1,19,0,0,25,2355,48,30,0,10,0,13
cycle-50-unrestricted,22,94000,nand+not-,3594,7.770262,908,84,3,0,1,16,0,0,32,2460,45,27,1,9,0,8
cycle-50-unrestricted,22,95000,nand+not-,3594,7.811606,915,101,7,3,3,19,0,0,37,2423,52,25,0,4,0,5
cycle-50-unrestricted,22,96000,nand+not-,3594,7.806270,905,93,1,0,0,23,0,0,36,2445,46,31,0,9,0,5
cycle-50-unrestricted,22,97000,nand+not-,3592,7.799272,873,118,8,1,2,15,0,0,31,2458,47,25,0,10,0,4
cycle-50-unrestricted,22,98000,nand+not-,3598,7.779661,913,119,0,2,2,19,0,0,22,2438,44,28,0,6,0,5
cycle-50-unrestricted,22,99000,nand+not-,3597,7.805206,895,132,6,0,4,13,0,0,23,2422,40,41,1,14,0,6
cycle-50-unrestricted,31,0,nand+not-,1,0.000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cycle-50-unrestricted,31,1000,nand+not-,3597,7.873054,3597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cycle-50-unrestricted,31,10000,nand+not-,3599,7.810783,3535,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0
cycle-50-unrestricted,31,100000,nand+not-,3538,7.936874,1022,200,5,9,1,3,0,0,63,1963,40,228,0,2,1,1
cycle-50-unrestricted,31,11000,nand+not-,3600,7.841512,3512,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0
cycle-50-unrestricted,31,12000,nand+not-,3600,7.837648,3596,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
cycle-50-unrestricted,31,13000,nand+not-,3597,7.824899,3533,0,0,0,0,57,0,0,0,0,7,0,0,0,0,0
cycle-50-unrestricted,31,14000,nand+not-,3599,7.854641,3567,0,0,0,0,30,0,0,0,0,2,0,0,0,0,0
cycle-50-unrestricted,31,15000,nand+not-,3600,7.877560,3571,0,0,0,0,22,0,0,0,0,7,0,0,0,0,0
cycle-50-unrestricted,31,16000,nand+not-,3600,7.877133,3566,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0
cycle-50-unrestricted,31,17000,nand+not-,3600,7.849365,3555,0,0,0,0,43,0,0,0,0,1,0,0,0,0,1
cycle-50-unrestricted,31,18000,nand+not-,3599,7.865002,3565,0,0,0,0,24,0,0,0,0,10,0,0,0,0,0
cycle-50-unrestricted,31,19000,nand+not-,3600,7.852133,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cycle-50-unrestricted,31,2000,nand+not-,3596,7.839126,3590,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
cycle-50-unrestricted,31,20000,nand+not-,3599,7.869402,3585,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
cycle-50-unrestricted,31,21000,nand+not-,3599,7.853894,3572,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0
cycle-50-unrestricted,31,22000,nand+not-,3599,7.876464,3585,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
cycle-50-unrestricted,31,23000,nand+not-,3600,7.869543,3551,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0
cycle-50-unrestricted,31,24000,nand+not-,3600,7.827328,3591,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
cycle-50-unrestricted,31,25000,nand+not-,3599,7.821850,3573,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0
cycle-50-unrestricted,31,26000,nand+not-,3599,7.824410,3545,0,0,0,0,53,0,0,0,0,1,0,0,0,0,0
cycle-50-unrestricted,31,27000,nand+not-,3600,7.842871,3582,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
cycle-50-unrestricted,31,28000,nand+not-,3600,7.852352,3589,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
cycle-50-unrestricted,31,29000,nand+not-,3600,7.847381,3578,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0
cycle-50-unrestricted,31,3000,nand+not-,3600,7.845146,3589,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
cycle-50-unrestricted,31,30000,nand+not-,3600,7.883438,3546,0,0,0,0,52,0,0,0,0,2,0,0,0,0,0
cycle-50-unrestricted,31,31000,nand+not-,3600,7.846683,3572,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0
cycle-50-unrestricted,31,32000,nand+not-,3600,7.837349,3578,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0
cycle-50-unrestricted,31,33000,nand+not-,3599,7.835917,3512,77,0,0,1,8,0,0,0,0,1,0,0,0,0,0
cycle-50-unrestricted,31,34000,nand+not-,3599,7.844623,2512,976,0,0,2,80,0,0,0,0,6,12,0,0,0,11
cycle-50-unrestricted,31,35000,nand+not-,3598,7.842078,1551,1349,0,0,3,220,0,0,0,0,118,344,0,0,0,13
cycle-50-unrestricted,31,36000,nand+not-,3598,7.820693,1241,1644,0,0,10,117,0,0,0,0,205,375,0,0,0,6
cycle-50-unrestricted,31,37000,nand+not-,3532,7.815871,1249,784,0,0,3,469,0,0,0,0,787,201,0,0,1,38
cycle-50-unrestricted,31,38000,nand+not-,3460,7.789458,924,870,0,0,3,180,0,0,0,0,1276,182,0,0,0,25
cycle-50-unrestricted,31,39000,nand+not-,3433,7.803782,919,340,0,0,3,1035,0,0,0,0,710,406,0,0,2,18
cycle-50-unrestricted,31,4000,nand+not-,3600,7.799751,3573,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0
cycle-50-unrestricted,31,40000,nand+not-,3457,7.751701,853,1186,0,0,4,319,0,0,0,0,657,405,0,0,0,33
cycle-50-unrestricted,31,41000,nand+not-,3476,7.767536,843,1228,0,0,9,161,0,0,0,0,668,545,0,0,0,22
cycle-50-unrestricted,31,42000,nand+not-,3426,7.756268,868,1304,0,0,1,144,0,0,2,0,638,459,0,0,0,10
cycle-50-unrestricted,31,43000,nand+not-,3479,7.727717,856,1533,2,0,9,184,0,0,1,0,352,533,0,0,0,9
cycle-50-unrestricted,31,44000,nand+not-,3457,7.740331,918,1173,0,0,11,410,0,0,0,0,690,233,0,0,5,17
cycle-50-unrestricted,31,45000,nand+not-,3461,7.748451,976,1179,0,0,2,346,0,0,0,0,428,486,0,0,2,42
cycle-50-unrestricted,31,46000,nand+not-,3435,7.775750,917,1164,1,0,3,94,0,0,8,0,664,568,0,0,1,15
cycle-50-unrestricted,31,47000,nand+not-,3438,7.794894,903,1173,0,0,2,242,0,0,0,0,507,606,0,0,0,5
cycle-50-unrestricted,31,48000,nand+not-,3457,7.794119,923,1296,0,0,4,108,0,0,0,1,559,565,0,0,0,1
cycle-50-unrestricted,31,49000,nand+not-,3484,7.812324,925,1175,1,0,4,144,0,0,1,0,401,822,0,0,0,11
cycle-50-unrestricted,31,5000,nand+not-,3599,7.809385,3576,0,0,0,0,20,0,0,0,0,3,0,0,0,0,0
cycle-50-unrestricted,31,50000,nand+not-,3453,7.789586,904,1339,0,1,7,115,0,0,0,0,498,583,0,0,0,6
cycle-50-unrestricted,31,51000,nand+not-,3249,7.757655,891,1273,0,0,9,43,0,0,13,0,611,399,1,0,0,9
cycle-50-unrestricted,31,52000,nand+not-,3450,7.794590,844,1095,0,0,2,319,0,0,0,0,690,492,1,0,0,7
cycle-50-unrestricted,31,53000,nand+not-,3467,7.816826,887,1314,3,0,1,44,0,0,0,0,874,330,0,0,0,14
cycle-50-unrestricted,31,54000,nand+not-,3427,7.811684,837,1183,0,0,3,172,0,0,2,0,456,763,0,0,0,11
cycle-50-unrestricted,31,55000,nand+not-,3383,7.759050,847,1250,0,0,6,19,0,0,5,0,567,662,0,0,0,27
cycle-50-unrestricted,31,56000,nand+not-,3432,7.801963,892,1417,0,0,4,32,0,0,1,0,630,446,0,0,0,10
cycle-50-unrestricted,31,57000,nand+not-,3412,7.804086,916,1130,0,0,7,47,0,0,2,0,961,338,0,0,2,9
cycle-50-unrestricted,31,58000,nand+not-,3442,7.798910,920,1011,0,0,8,359,0,0,0,0,508,632,0,0,0,4
cycle-50-unrestricted,31,59000,nand+not-,3426,7.820259,899,1157,2,4,9,80,0,0,1,0,634,631,0,0,0,9
cycle-50-unrestricted,31,6000,nand+not-,3600,7.834016,3593,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
cycle-50-unrestricted,31,60000,nand+not-,3422,7.799645,823,1088,0,0,2,159,0,1,5,0,738,597,1,1,0,7
cycle-50-unrestricted,31,61000,nand+not-,3440,7.805675,854,929,0,0,15,324,0,0,0,0,703,603,0,0,1,11
cycle-50-unrestricted,31,62000,nand+not-,3442,7.823012,836,1136,0,0,8,100,0,0,0,0,452,898,0,0,1,11
cycle-50-unrestricted,31,63000,nand+not-,3413,7.853552,818,946,0,2,7,169,0,0,1,21,675,759,0,0,1,14
cycle-50-unrestricted,31,64000,nand+not-,3540,7.915061,960,458,0,32,1,33,0,0,48,1289,147,552,1,10,1,8
cycle-50-unrestricted,31,65000,nand+not-,3553,7.930132,998,370,4,24,3,48,0,2,68,1580,75,337,3,30,1,10
cycle-50-unrestricted,31,66000,nand+not-,3555,7.950714,982,356,4,23,3,30,0,0,57,1630,71,374,2,14,1,8
cycle-50-unrestricted,31,67000,nand+not-,3555,7.948109,1000,324,11,18,1,27,0,2,73,1707,50,317,4,15,0,6
cycle-50-unrestricted,31,68000,nand+not-,3552,7.944769,962,315,8,22,2,34,0,0,66,1722,76,323,0,16,0,6
cycle-50-unrestricted,31,69000,nand+not-,3557,7.927083,974,337,3,22,2,30,0,0,77,1746,66,276,1,11,3,9
cycle-50-unrestricted,31,7000,nand+not-,3600,7.815012,3556,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0
cycle-50-unrestricted,31,70000,nand+not-,3556,7.932609,1001,345,1,14,3,24,0,2,70,1706,44,314,4,19,1,8
cycle-50-unrestricted,31,71000,nand+not-,3560,7.948037,1027,349,4,11,2,25,0,0,70,1679,57,304,3,21,0,8
cycle-50-unrestricted,31,72000,nand+not-,3562,7.946262,989,375,6,17,2,18,1,1,84,1741,59,241,0,23,0,5
cycle-50-unrestricted,31,73000,nand+not-,3559,7.919293,955,338,1,18,2,24,1,0,94,1771,51,278,1,18,0,7
cycle-50-unrestricted,31,74000,nand+not-,3562,7.915747,994,386,1,7,5,16,0,0,64,1787,56,239,0,7,0,0
cycle-50-unrestricted,31,75000,nand+not-,3550,7.942618,979,346,2,16,2,18,0,1,74,1828,49,225,1,5,0,4
cycle-50-unrestricted,31,76000,nand+not-,3572,7.922350,1008,320,4,19,2,12,0,0,78,1814,65,234,0,14,0,2
cycle-50-unrestricted,31,77000,nand+not-,3561,7.945973,1033,292,3,17,0,15,0,0,75,1791,66,256,1,12,0,0
cycle-50-unrestricted,31,78000,nand+not-,3555,7.942986,1040,319,3,7,3,20,0,0,69,1758,61,265,4,4,0,2
cycle-50-unrestricted,31,79000,nand+not-,3563,7.950537,1017,330,4,11,3,10,0,0,81,1787,55,252,2,9,0,2
cycle-50-unrestricted,31,8000,nand+not-,3598,7.820092,3581,0,0,0,0,15,0,0,0,0,2,0,0,0,0,0
cycle-50-unrestricted,31,80000,nand+not-,3567,7.959083,1006,352,9,7,0,18,0,0,75,1762,55,280,2,0,0,1
cycle-50-unrestricted,31,81000,nand+not-,3560,7.948870,1024,320,4,6,1,6,0,0,79,1789,53,266,0,7,0,5
cycle-50-unrestricted,31,82000,nand+not-,3567,7.947061,968,346,2,11,3,9,0,0,58,1829,55,275,0,6,0,5
cycle-50-unrestricted,31,83000,nand+not-,3548,7.949008,1006,306,4,12,4,9,0,0,85,1808,45,257,0,7,1,4
cycle-50-unrestricted,31,84000,nand+not-,3553,7.923858,1015,310,7,11,5,5,0,0,72,1795,62,267,0,3,0,1
cycle-50-unrestricted,31,85000,nand+not-,3556,7.950724,1013,306,9,12,2,9,0,0,80,1802,52,265,1,3,0,2
cycle-50-unrestricted,31,86000,nand+not-,3555,7.937214,1061,305,6,14,2,9,0,0,62,1805,64,219,4,2,0,2
cycle-50-unrestricted,31,87000,nand+not-,3563,7.933027,1012,256,4,15,4,9,0,0,60,1881,64,250,2,4,0,2
cycle-50-unrestricted,31,88000,nand+not-,3562,7.934374,989,305,5,7,4,13,0,0,64,1861,59,245,1,5,0,4
cycle-50-unrestricted,31,89000,nand+not-,3559,7.939686,997,298,7,7,5,8,0,0,79,1877,55,221,2,2,0,1
cycle-50-unrestricted,31,9000,nand+not-,3600,7.843815,3588,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
cycle-50-unrestricted,31,90000,nand+not-,3566,7.940884,1031,304,5,8,4,5,0,0,90,1853,52,203,1,10,0,0
cycle-50-unrestricted,31,91000,nand+not-,3564,7.955739,1003,266,7,7,1,9,0,0,87,1813,60,291,3,14,0,3
cycle-50-unrestricted,31,92000,nand+not-,3568,7.957247,992,312,1,5,3,12,0,0,87,1827,67,252,4,4,0,2
cycle-50-unrestricted,31,93000,nand+not-,3562,7.952450,1018,288,1,7,3,9,0,1,88,1831,52,248,1,10,0,5
cycle-50-unrestricted,31,94000,nand+not-,3569,7.934352,1053,282,4,12,4,4,0,0,75,1881,45,205,2,2,0,0
